Year,Entity,Life expectancy
1802,Australia,34.049999
1803,Australia,34.049999
1804,Australia,34.049999
1805,Australia,34.049999
1806,Australia,34.049999
1807,Australia,34.049999
1808,Australia,34.049999
1809,Australia,34.049999
1810,Australia,34.049999
1811,Australia,34.049999
1812,Australia,34.049999
1813,Australia,34.049999
1814,Australia,34.049999
1815,Australia,34.049999
1816,Australia,34.049999
1817,Australia,34.049999
1818,Australia,34.049999
1819,Australia,34.049999
1820,Australia,34.049999
1821,Australia,34.049999
1822,Australia,34.049999
1823,Australia,34.049999
1824,Australia,34.049999
1825,Australia,34.049999
1826,Australia,34.049999
1827,Australia,34.049999
1828,Australia,34.049999
1829,Australia,34.049999
1830,Australia,34.049999
1831,Australia,34.049999
1832,Australia,34.049999
1833,Australia,34.049999
1834,Australia,34.049999
1835,Australia,34.049999
1836,Australia,34.049999
1837,Australia,34.049999
1838,Australia,34.049999
1839,Australia,34.049999
1840,Australia,34.049999
1841,Australia,34.049999
1842,Australia,34.049999
1843,Australia,34.049999
1844,Australia,34.049999
1845,Australia,34.049999
1846,Australia,34.049999
1847,Australia,34.049999
1848,Australia,34.049999
1849,Australia,34.049999
1850,Australia,34.049999
1851,Australia,34.049999
1852,Australia,34.049999
1853,Australia,34.049999
1854,Australia,34.049999
1855,Australia,34.049999
1856,Australia,34.049999
1857,Australia,34.049999
1858,Australia,34.049999
1859,Australia,34.049999
1860,Australia,34.049999
1861,Australia,34.049999
1862,Australia,34.049999
1863,Australia,34.049999
1864,Australia,34.049999
1865,Australia,34.049999
1866,Australia,34.049999
1867,Australia,34.049999
1868,Australia,34.049999
1869,Australia,34.049999
1870,Australia,34.049999
1871,Australia,34.579216
1872,Australia,35.108433
1873,Australia,35.637646
1874,Australia,36.166862
1875,Australia,36.696079
1876,Australia,37.225296
1877,Australia,37.754509
1878,Australia,38.283726
1879,Australia,38.812943
1880,Australia,39.342155
1881,Australia,39.871372
1882,Australia,40.400589
1883,Australia,40.929806
1884,Australia,41.459019
1885,Australia,41.988235
1886,Australia,42.517452
1887,Australia,43.046665
1888,Australia,43.575882
1889,Australia,44.105099
1890,Australia,44.634315
1891,Australia,45.163528
1892,Australia,45.692745
1893,Australia,46.221962
1894,Australia,46.751175
1895,Australia,47.280392
1896,Australia,47.809608
1897,Australia,48.338825
1898,Australia,48.868038
1899,Australia,49.397255
1900,Australia,49.926472
1901,Australia,50.455685
1902,Australia,50.984901
1903,Australia,51.514118
1904,Australia,52.043335
1905,Australia,52.572548
1906,Australia,53.101765
1907,Australia,53.630981
1908,Australia,54.160194
1909,Australia,54.689411
1910,Australia,55.218628
1911,Australia,55.747845
1912,Australia,56.277058
1913,Australia,56.806274
1914,Australia,57.335491
1915,Australia,57.864704
1916,Australia,58.393921
1917,Australia,58.923138
1918,Australia,54.802391
1919,Australia,59.981567
1920,Australia,60.510784
1921,Australia,61.040001
1922,Australia,62.889999
1923,Australia,61.73
1924,Australia,62.529999
1925,Australia,63.220001
1926,Australia,62.939999
1927,Australia,62.91
1928,Australia,62.959999
1929,Australia,63.150002
1930,Australia,64.959999
1931,Australia,65.389999
1932,Australia,65.690002
1933,Australia,65.519997
1934,Australia,64.879997
1935,Australia,65.150002
1936,Australia,65.269997
1937,Australia,65.830002
1938,Australia,65.870003
1939,Australia,65.82
1940,Australia,66.260002
1941,Australia,66.139999
1942,Australia,65.879997
1943,Australia,66.400002
1944,Australia,68.029999
1945,Australia,68.459999
1946,Australia,67.980003
1947,Australia,68.589996
1948,Australia,68.510002
1949,Australia,69.129997
1950,Australia,69.019997
1951,Australia,68.720001
1952,Australia,69.120003
1953,Australia,69.699997
1954,Australia,69.849998
1955,Australia,70.169998
1956,Australia,70.050003
1957,Australia,70.330002
1958,Australia,70.879997
1959,Australia,70.449997
1960,Australia,70.889999
1961,Australia,71.160004
1962,Australia,70.93
1963,Australia,70.989998
